Start Fitness,End Fitness,Class 0 Accuracy (%),Class 1 Accuracy (%),Overall Accuracy (%)
7.05E+34,1.22E+75,1.094890511,100,35.93380615
1.81E+15,1.18E+75,1.459854015,100,36.17021277
4.94E+19,1.21E+75,1.094890511,100,35.93380615
3.70E+16,1.26E+75,1.459854015,100,36.17021277
1.01E+10,1.21E+75,1.459854015,100,36.17021277
3.43E+21,1.24E+75,1.459854015,100,36.17021277
4.35E+16,1.23E+75,1.459854015,100,36.17021277
1.70E+16,1.07E+75,1.459854015,100,36.17021277
9.23E+20,1.16E+75,1.459854015,100,36.17021277
1.77E+11,1.20E+75,1.459854015,100,36.17021277
5.74E+15,3.64E+74,1.459854015,100,36.17021277
7.22E+15,5.28E+74,1.459854015,100,36.17021277
2.75E+16,1.25E+75,1.459854015,100,36.17021277
1.16E+18,1.26E+75,1.459854015,100,36.17021277
3.34E+23,1.25E+75,1.459854015,100,36.17021277
8.61E+17,1.16E+75,1.459854015,100,36.17021277
4.04E+18,1.10E+75,1.094890511,100,35.93380615
8.57E+13,4.73E+74,1.459854015,100,36.17021277
1.37E+13,5.14E+74,1.459854015,100,36.17021277
7.41E+19,1.14E+75,1.459854015,100,36.17021277
1.96E+18,1.22E+75,1.459854015,100,36.17021277
7.37E+16,2.16E+74,1.459854015,100,36.17021277
1.02E+24,2.58E+74,1.459854015,100,36.17021277
1.14E+18,1.10E+75,1.094890511,100,35.93380615
5.74E+15,1.18E+75,0,100,35.22458629
5.74E+15,1.00E+75,1.459854015,100,36.17021277
4.43E+07,1.24E+75,1.459854015,100,36.17021277
7.36E+15,1.15E+75,0,100,35.22458629
8.75E+17,1.02E+75,1.459854015,100,36.17021277
5.74E+15,1.14E+75,0.729927007,100,35.69739953
4.19E+15,7.89E+74,1.459854015,100,36.17021277
4.10E+15,5.58E+74,1.459854015,100,36.17021277
3.43E+21,1.13E+75,0.729927007,100,35.69739953
5.74E+15,1.03E+75,1.094890511,100,35.93380615
1.37E+16,1.25E+75,1.459854015,100,36.17021277
6.30E+11,1.10E+75,1.459854015,100,36.17021277
2.92E+31,1.13E+75,1.459854015,100,36.17021277
1.06E+36,1.13E+75,0.729927007,100,35.69739953
1.58E+16,1.20E+75,1.459854015,100,36.17021277
1.32E+19,1.21E+75,0,100,35.22458629
9.93E+15,1.24E+75,1.459854015,100,36.17021277
1.48E+18,1.22E+75,1.459854015,100,36.17021277
5.74E+15,7.08E+74,1.459854015,100,36.17021277
5.74E+15,1.13E+75,0.729927007,100,35.69739953
5.74E+15,1.27E+75,1.459854015,100,36.17021277
2.71E+16,9.63E+74,1.459854015,100,36.17021277
5.74E+15,1.19E+75,1.459854015,100,36.17021277
1.49E+26,1.26E+75,1.459854015,100,36.17021277
5.47E+17,1.24E+75,1.459854015,100,36.17021277
