7089273.477,1.83E+76,2.272727273,100,33.84615385,*,-,*,*,*,*,*,f43,f37,*,*,+,*,*,*,-,*,*,f37,f49,*,f37,*,f26,+,-,*,f37,-,f37,-,*,f37,f7,f49,f37,-,f58,f26,+,+,-,+,f16,f49,f58,f37,f49,f49,f37,f27,f19,f19,f36,f29,f13,f10,f9,f53,,,,,,,,,,,,,,
1.54E+08,1.82E+76,9.090909091,100,38.46153846,*,*,*,*,*,*,*,*,*,+,f49,*,-,*,-,-,f37,f37,f49,*,+,*,+,*,f26,*,-,+,f49,f26,f49,f37,+,f26,f26,f37,f37,f49,-,f21,f49,f37,f49,f37,/,*,f40,f18,f34,f49,f40,f49,f13,f18,f58,,,,,,,,,,,,,,,,,,
7.33E+10,1.82E+76,0,100,32.30769231,*,*,*,*,*,-,*,-,*,*,*,f37,-,*,*,f37,/,f37,*,f23,/,*,f24,f24,*,*,-,f37,f57,f37,-,f37,f37,f49,f24,*,f37,f2,f49,f37,f37,f26,f51,f7,f14,f37,f26,,,,,,,,,,,,,,,,,,,,,,,,,,
1.29E+07,1.81E+76,2.272727273,100,33.84615385,*,*,*,*,*,*,*,*,f37,f37,*,*,*,-,*,+,f37,+,f37,-,-,*,-,*,+,f57,f37,f26,f49,f37,f49,+,-,-,f13,f26,f37,*,f49,f37,f37,f37,f37,f49,f37,f31,f49,f40,f51,f28,f31,,,,,,,,,,,,,,,,,,,,,,
1.64E+14,1.81E+76,2.272727273,100,33.84615385,*,*,*,*,*,+,*,*,-,*,f37,f37,f49,*,-,f37,*,*,*,*,*,f37,f37,*,*,-,*,f49,f26,f26,+,f49,f37,+,f37,/,*,f49,f8,f37,f35,f19,f57,f26,f3,f13,f37,f27,f23,f23,f58,,,,,,,,,,,,,,,,,,,,,,
1.69E+08,1.81E+76,2.272727273,100,33.84615385,*,*,-,-,*,*,+,*,*,-,*,*,*,f24,-,/,*,f37,*,*,*,*,-,-,*,-,*,f38,f37,*,/,*,f37,*,+,f37,f20,f49,f37,f19,-,f24,f37,f26,f49,-,-,*,*,f37,-,f26,f1,f53,f43,f57,f37,f37,f49,f47,f26,f8,f51,f6,f37,f24,f37,f49,f38,f10,f37,f20,f37
7.99E+09,1.79E+76,0,100,32.30769231,*,*,*,*,*,*,*,+,-,*,f37,f37,*,-,+,*,f37,-,f37,+,*,*,f37,/,f49,f37,+,*,f37,f52,f49,*,f37,f37,*,-,f37,f37,+,f49,f49,f37,f26,f8,f49,f23,f26,f12,f30,f11,f48,,,,,,,,,,,,,,,,,,,,,,
2.92E+07,1.78E+76,0,100,32.30769231,*,*,*,*,*,*,-,-,*,*,*,f12,-,/,-,f26,/,*,f37,-,f37,f37,f37,*,*,*,/,*,f37,f37,f24,-,f37,f51,f12,f37,f48,-,f37,f37,-,/,*,/,f37,f26,f36,f46,f49,f19,f37,f48,f37,f37,f48,f2,f20,,,,,,,,,,,,,,,,
5.44E+07,1.77E+76,4.545454545,100,35.38461538,*,*,*,*,-,*,*,-,-,f53,*,f37,f37,*,-,f37,*,-,*,*,f37,*,f49,*,*,-,*,f37,*,f16,-,*,f49,*,f50,f37,f37,*,*,f6,f37,f39,f36,f7,f19,f49,f50,f37,f49,f37,f37,f26,f55,f37,f50,,,,,,,,,,,,,,,,,,
1.56E+08,1.71E+76,4.545454545,100,35.38461538,*,*,*,*,*,*,*,*,*,*,*,+,*,*,-,f37,*,f37,*,f37,f35,-,f7,-,-,f37,f37,f37,*,*,f26,+,f26,f57,f37,*,f37,*,*,*,f37,f57,f58,f37,f55,f37,f39,f49,f42,f36,f28,f53,f26,f11,f24,,,,,,,,,,,,,,,,,,
1.65E+09,1.66E+76,0,100,32.30769231,*,*,*,*,*,*,*,-,*,*,-,*,*,*,*,/,f57,-,f37,+,f37,*,/,+,f37,f37,*,f37,*,+,+,f17,f56,f37,f9,f37,f37,+,+,f37,f34,f37,f37,f55,f7,f48,f37,f16,f37,f37,f26,f34,f35,f26,f42,,,,,,,,,,,,,,,,,,
1.31E+13,1.60E+76,6.818181818,100,36.92307692,*,*,-,*,*,*,*,*,-,+,*,*,+,f37,*,f37,*,*,*,f37,f37,*,*,*,f37,*,-,*,f37,*,+,+,f37,f37,f3,f37,f37,f37,f37,f37,*,+,*,-,f37,f37,f43,f11,f26,f37,f43,f3,f41,f31,f10,f26,f57,f7,f24,f36,f37,,,,,,,,,,,,
