5.15E+34,1.13E+76,0,100,32.30769231,EXP,+,COS,+,*,f36,f6,-,*,f37,-,f26,TAN,f37,TAN,*,*,f37,/,f31,f32,f38,f20,f32,f11,f18,f23,,,,,,,,,,,,,,,,,,,,,,,,
3.57E+67,7.16E+75,0,100,32.30769231,-,-,EXP,*,EXP,SIN,COS,-,*,TAN,COS,TAN,*,COS,f24,*,f37,*,f31,LOG,f43,COS,+,f22,f8,SIN,+,f22,f23,EXP,f36,f43,f19,f56,f20,f22,f23,f5,f5,f55,f23,f54,f22,f37,f31,,,,,,
2.26E+72,6.43E+75,79.54545455,14.28571429,58.46153846,TAN,EXP,+,-,TAN,f18,-,EXP,EXP,f21,f24,f27,-,f24,f40,f48,f12,f22,-,f21,f11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.88E+65,6.31E+75,2.272727273,100,33.84615385,-,-,EXP,+,EXP,+,f31,-,SIN,+,LOG,EXP,*,*,f23,f22,f26,LOG,LOG,f22,f19,*,f23,f26,f24,f34,f57,f26,EXP,EXP,EXP,TAN,-,f2,f57,f45,f50,f35,f2,f25,f55,f16,f15,,,,,,,,
1.06E+66,6.23E+75,2.272727273,100,33.84615385,-,+,EXP,EXP,EXP,EXP,f50,EXP,*,*,f31,+,f50,f26,f18,f15,f39,*,EXP,+,-,*,f50,f50,f23,f26,f26,*,TAN,f34,f30,f26,f7,f26,f38,,,,,,,,,,,,,,,,
7.79E+69,6.12E+75,4.545454545,100,35.38461538,EXP,EXP,f41,TAN,TAN,f41,SIN,-,f37,f41,-,f15,f21,/,f58,f50,f12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.86E+50,6.10E+75,100,9.523809524,70.76923077,-,-,*,-,SIN,EXP,*,EXP,COS,EXP,EXP,f15,f12,EXP,TAN,EXP,f1,/,-,f50,+,*,f12,f24,f31,f24,SIN,*,f50,f23,f18,f32,f24,f16,f15,f34,f32,f54,f19,f24,f50,,,,,,,,,,
2.73E+48,6.09E+75,100,0,67.69230769,COS,EXP,COS,TAN,+,EXP,+,+,f1,f50,f1,SIN,+,f7,f31,*,EXP,f58,/,f28,f27,TAN,f1,*,+,f12,f15,f27,f24,f7,f7,f41,f28,,,,,,,,,,,,,,,,,,
6.28E+34,6.08E+75,0,95.23809524,30.76923077,+,EXP,+,EXP,f11,EXP,EXP,+,f50,COS,COS,f1,/,f46,EXP,EXP,f52,TAN,f11,SIN,f4,-,TAN,f58,f47,f50,f46,f58,f50,f45,f14,f13,f4,,,,,,,,,,,,,,,,,,
2.22E+48,5.89E+75,0,100,32.30769231,EXP,+,EXP,+,+,f12,f12,EXP,EXP,LOG,*,EXP,f1,f1,COS,EXP,f58,EXP,EXP,f46,f55,f22,f38,f27,f42,f26,f1,SIN,f1,f47,f30,,,,,,,,,,,,,,,,,,,,
2.54E+37,5.79E+75,0,100,32.30769231,*,*,+,EXP,+,+,EXP,/,/,+,f32,+,f49,*,/,f32,/,f35,+,f16,f32,EXP,EXP,/,f54,f9,COS,f14,TAN,f18,f13,f49,f54,f51,f29,f52,COS,f16,f49,f27,f36,f29,f28,,,,,,,,
4.91E+63,5.78E+75,0,100,32.30769231,+,+,*,*,/,EXP,EXP,TAN,EXP,*,f55,*,f21,f37,*,EXP,*,f34,COS,f2,f13,COS,f42,f21,f14,f42,f40,*,-,TAN,f53,+,f17,f58,f37,f55,f45,f17,f21,f26,f32,,,,,,,,,,
2.52E+69,5.76E+75,2.272727273,100,33.84615385,EXP,*,EXP,+,EXP,-,f30,-,EXP,f35,EXP,f7,f2,*,EXP,*,f11,LOG,f13,f35,EXP,f31,f11,f11,f7,f3,f41,f57,f23,,,,,,,,,,,,,,,,,,,,,,
