1.74E+10,1.35E+76,13.63636364,100,41.53846154,*,*,*,*,-,*,*,+,-,/,*,*,-,*,f49,*,*,/,f37,*,/,f37,+,f37,f26,f37,f26,*,*,f26,f26,f49,f37,+,f44,f52,f17,f44,f37,f48,-,-,f37,f49,*,f36,f49,f49,f32,f50,f49,f26,f37,,,,,,,,,,,,,,,,,,,,,,,,,,
2.04E+09,1.47E+76,31.81818182,100,53.84615385,*,*,*,+,+,*,*,*,+,-,f26,*,+,+,*,*,+,*,-,*,*,*,+,+,*,*,f47,+,f26,f37,f26,*,f26,f26,f13,f7,f6,f37,/,f56,f1,f37,f37,f37,f49,f37,f26,*,f49,*,+,f37,f37,f57,f24,f38,f42,f11,f53,f37,f37,f25,f37,,,,,,,,,,,,,,,,
2.36E+14,1.40E+76,15.90909091,100,43.07692308,*,-,*,*,f49,*,+,*,*,*,*,-,/,+,-,f37,*,-,+,*,*,f37,f26,+,*,-,f26,+,f37,*,*,/,f37,f37,+,*,-,-,f26,-,f37,+,-,f2,f49,f52,f52,f26,f37,f26,f37,f37,f48,f43,f49,f49,f46,f37,f52,f13,f18,f37,f47,f51,f8,f47,f18,,,,,,,,,,,,
8.52E+08,1.39E+76,0,100,32.30769231,*,*,*,*,*,*,*,*,+,+,-,f49,-,*,*,-,+,/,f26,-,-,+,f26,*,f48,-,+,*,f26,*,f49,f37,f4,f26,+,f49,f26,f37,f52,/,+,-,*,f37,f26,f37,f37,f37,f26,f48,f48,f47,f47,f26,f57,f25,f37,f49,f2,f49,f26,,,,,,,,,,,,,,,,,,
6.59E+07,1.82E+76,25,100,49.23076923,*,*,+,*,*,*,*,*,*,*,*,-,*,+,*,*,-,*,f37,f37,f54,f37,-,*,f6,f37,+,*,*,*,+,f37,f37,f37,*,f37,f26,-,f37,f1,f37,*,*,f42,f37,/,*,*,*,-,f37,f37,f37,f7,f26,f28,f42,f44,f39,f57,f3,f8,f37,f38,f1,f10,f6,f49,f52,,,,,,,,,,
7.30E+07,1.34E+76,18.18181818,100,44.61538462,*,*,*,*,-,*,-,*,*,*,*,*,*,*,*,f37,f26,f37,f26,*,-,+,f37,*,*,f37,f37,+,*,f37,*,f55,f26,f37,*,f37,-,*,f37,*,-,f54,/,f22,+,f34,f1,f12,f32,f51,f24,f37,f32,f3,f19,f7,f37,f31,f9,f47,f26,,,,,,,,,,,,,,,,,,
8.52E+11,1.70E+76,18.18181818,100,44.61538462,*,*,*,*,*,-,+,*,*,*,*,*,-,*,*,f37,f37,*,f17,*,f37,f37,f37,+,/,*,-,*,*,f26,*,f17,/,f37,*,f37,f37,f53,f45,f24,f36,*,f37,f37,*,*,f37,-,f37,f26,f55,f26,f37,f30,f6,f47,f35,f2,f16,f37,f10,,,,,,,,,,,,,,,,,,
1332516.916,1.44E+76,22.72727273,100,47.69230769,*,*,*,*,*,*,*,-,f37,f37,-,-,*,*,*,+,+,+,-,f26,/,*,*,+,f37,*,-,+,f26,*,+,f26,f26,f37,f24,f37,f55,f26,f5,f37,f37,f37,f26,f37,+,-,f37,f50,f8,f31,f47,f29,f49,f26,f20,f18,f49,,,,,,,,,,,,,,,,,,,,,,
9.06E+07,9.75E+75,11.36363636,100,40,*,*,*,/,*,/,*,*,/,+,*,f37,-,f31,*,*,*,/,-,*,*,f37,*,/,f51,f37,f37,-,f37,f37,f37,+,f2,f42,f5,f37,f26,f37,f37,-,f37,f3,f24,f30,f37,f29,f30,f23,f37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.69E+08,1.30E+76,9.090909091,100,38.46153846,*,-,*,*,f20,-,*,-,*,*,*,*,*,f49,*,*,*,*,*,-,*,f37,*,f37,*,f35,f20,f37,*,f57,*,f37,f47,f37,f26,f20,f37,f49,f37,/,f42,f49,f26,f26,f37,f26,f37,f15,f53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.04E+11,1.01E+76,2.272727273,100,33.84615385,*,*,*,*,-,*,+,*,*,f7,-,*,-,*,-,*,-,-,*,f37,*,f26,f37,*,/,f26,f49,/,*,f26,f26,f3,+,f46,f26,f37,f37,*,f37,f26,*,f37,/,f26,f13,*,f37,f17,f7,f26,f26,f35,f46,f51,f13,f45,f20,,,,,,,,,,,,,,,,,,,,,,
2.92E+07,1.33E+76,22.72727273,100,47.69230769,*,*,*,-,*,/,*,*,*,*,*,-,/,*,*,f19,*,-,f37,+,+,f37,+,-,f37,-,*,f26,f26,f20,*,f37,f37,*,f37,f37,*,f49,f37,+,f37,f20,+,f4,f41,f20,*,-,+,f20,f20,f37,f37,f49,f36,f23,f16,f18,f41,f37,f58,f26,f5,,,,,,,,,,,,,,,,
2.21E+07,1.80E+76,18.18181818,100,44.61538462,/,*,/,-,-,/,/,*,*,*,+,+,*,*,/,f37,*,*,f37,*,/,*,f49,/,/,*,*,f37,+,/,*,f37,f49,f37,-,-,f37,/,f39,*,f49,*,f49,*,f37,f37,f8,f26,-,-,f37,-,f17,-,f26,f46,f37,f20,f38,f37,f17,f49,f37,f8,f1,f43,f10,f20,f37,f49,f19,f24,f21,f37,f32,,,,
3.91E+08,1.85E+76,27.27272727,100,50.76923077,*,*,*,+,*,*,*,*,*,*,*,/,*,f37,*,+,*,*,*,+,-,-,-,f37,/,f37,f37,+,f37,f49,f37,f26,-,f37,+,*,f37,f49,f37,f37,*,f26,*,*,f37,/,f1,f49,f37,f37,f34,f18,f9,f28,f36,f6,f23,f54,f49,f19,f50,f9,f39,,,,,,,,,,,,,,,,
9.87E+10,7.37E+75,31.81818182,100,53.84615385,*,+,*,+,+,*,+,/,f29,/,*,*,*,+,/,*,/,f2,-,*,*,+,*,*,*,*,*,+,/,f37,f37,*,*,f33,f44,*,f37,*,f37,f2,*,f37,+,+,f37,f37,+,f37,-,-,*,f49,f37,/,f37,f44,f44,f9,f26,f23,f26,f16,f9,f49,f37,f31,f37,f15,f37,f34,f57,f19,f37,f3,f37,f8,f37,f33,f28
1.25E+13,1.30E+76,15.90909091,100,43.07692308,*,*,*,*,-,*,*,*,f26,f37,-,*,*,*,+,-,+,+,-,f26,*,f37,*,f37,-,+,/,f26,*,f37,-,*,f26,f37,f26,-,f37,-,f37,*,f37,f37,-,f26,/,f45,f19,f26,f12,f19,f6,f37,f52,f26,f4,f52,f2,f37,f20,f57,f56,,,,,,,,,,,,,,,,,,
5564731.16,1.79E+76,22.72727273,100,47.69230769,*,*,*,*,*,*,*,*,*,+,*,*,*,-,*,f37,f12,+,f37,+,+,f37,*,f26,f12,f37,f49,-,-,f37,f37,f37,f49,f37,f26,f49,f26,f37,f26,f49,f26,-,f37,f30,f49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.79E+07,1.70E+76,15.90909091,100,43.07692308,*,*,*,*,*,*,*,*,-,+,*,-,*,*,*,f37,-,-,/,+,+,f17,+,*,*,f37,*,f17,-,f37,f37,/,f37,-,f41,f37,f49,f49,f37,f49,f5,f37,f49,+,f49,f37,+,+,*,f26,f17,f26,f55,f41,f9,f52,f26,f31,f5,f37,f31,f49,f37,,,,,,,,,,,,,,,,
