1.21E+17,7.67E+75,0,100,32.30769231,*,EXP,TAN,+,f40,+,f37,/,-,+,TAN,*,EXP,EXP,EXP,f26,*,f49,TAN,EXP,f1,/,f16,f37,-,+,f31,f9,f9,f40,f1,f26,f40,f53,f45,f1,f14,f56,f33,,,,,,,,,,,,,,,,,,
5.32E+49,7.09E+75,0,100,32.30769231,-,*,-,f6,-,EXP,EXP,f42,EXP,COS,f42,/,COS,TAN,TAN,EXP,/,f42,TAN,/,f37,f52,f16,f54,f42,-,f42,*,f42,COS,f38,f3,SIN,f36,f51,f26,f16,f42,f13,f53,f23,,,,,,,,,,,,,,,,
2.04E+68,7.04E+75,4.545454545,95.23809524,33.84615385,+,+,-,EXP,EXP,EXP,+,EXP,f54,SIN,+,EXP,f27,SIN,f56,LOG,LOG,*,*,f28,f27,*,f41,EXP,+,LOG,f32,f22,f32,f50,*,f22,f47,f46,+,f32,f27,f34,f13,f32,f9,f56,f27,f23,f40,,,,,,,,,,,,
2.74E+41,6.93E+75,29.54545455,100,52.30769231,+,-,+,EXP,+,-,/,f36,SIN,EXP,EXP,f35,EXP,LOG,EXP,f35,COS,f5,EXP,LOG,SIN,f13,f18,-,f35,COS,+,f36,SIN,f14,f36,f52,f24,f35,f32,f22,f35,f55,COS,COS,/,f31,f41,f9,f10,f35,f45,f57,f29,,,,,,,,
3.27E+65,6.57E+75,0,100,32.30769231,+,+,-,EXP,*,COS,-,EXP,f42,EXP,*,SIN,*,f11,EXP,TAN,f42,EXP,f7,f54,SIN,f26,f7,-,EXP,TAN,EXP,+,f21,f4,f5,EXP,f31,f34,f24,f5,f5,f11,f24,f47,f13,f3,f34,f38,f31,,,,,,,,,,,,
6.00E+48,6.56E+75,0,100,32.30769231,-,-,*,/,EXP,SIN,SIN,*,/,SIN,f42,EXP,TAN,COS,f42,f14,+,COS,EXP,-,*,EXP,f40,f42,f32,EXP,COS,SIN,TAN,f14,-,f22,/,f32,EXP,f42,f32,TAN,f42,f42,f31,f57,f40,f6,f55,f32,f24,f19,f18,f25,f14,f42,f42,f20,f35,,
9.43E+70,6.47E+75,9.090909091,95.23809524,36.92307692,EXP,+,f54,+,-,EXP,/,SIN,+,*,+,-,EXP,+,/,EXP,COS,f44,f11,f9,f28,*,*,SIN,f36,f30,f36,f36,f41,LOG,LOG,f57,f39,f43,f34,f20,f54,f53,f51,f52,f20,f22,f32,,,,,,,,,,,,,,
2.42E+41,6.31E+75,0,100,32.30769231,+,-,-,-,+,-,/,EXP,EXP,EXP,-,EXP,TAN,EXP,f47,EXP,f55,EXP,f55,SIN,f31,f9,f34,EXP,f55,f47,LOG,-,LOG,f37,*,-,f31,f37,f11,f37,f31,f37,f57,f37,f26,f2,f9,f41,f8,f21,f37,,,,,,,,,,
3.32E+65,5.85E+75,0,95.23809524,30.76923077,*,-,EXP,f41,-,EXP,f55,EXP,EXP,f31,/,EXP,EXP,/,f31,f41,-,f27,f41,f28,SIN,f26,f10,COS,/,f22,f41,f28,f44,f50,f33,,,,,,,,,,,,,,,,,,,,,,,,,,
7.17E+48,5.85E+75,15.90909091,100,43.07692308,+,+,/,+,f42,-,/,f40,EXP,EXP,f40,SIN,*,/,+,-,COS,f53,f31,SIN,+,EXP,f10,f54,f31,f36,f52,f35,f43,f48,f36,EXP,f41,f42,f40,f40,f10,,,,,,,,,,,,,,,,,,,,
4.81E+65,5.83E+75,0,100,32.30769231,-,TAN,TAN,EXP,f52,TAN,f31,EXP,f2,EXP,EXP,f26,f31,f39,-,COS,-,f9,*,f45,f23,f34,f5,f45,f27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.24E+48,5.60E+75,0,100,32.30769231,+,+,-,*,-,EXP,*,+,EXP,*,*,f26,f31,EXP,/,f26,EXP,f26,f31,+,+,EXP,-,-,f1,+,*,f26,SIN,f58,f26,f28,f22,+,f31,EXP,f26,*,-,f31,EXP,SIN,f47,f39,f47,f19,f26,f36,f8,f46,f39,f58,f38,f31,f50,f22,f31
1.43E+58,5.35E+75,0,100,32.30769231,+,+,-,EXP,EXP,SIN,TAN,*,+,LOG,COS,EXP,f39,f19,-,+,+,f31,f55,f48,+,TAN,f46,f28,/,SIN,EXP,-,LOG,*,f49,f32,f30,f2,f25,f2,EXP,f31,f55,f55,f2,f8,f19,f39,f20,f46,f28,f22,f31,,,,,,,,
8.46E+66,5.25E+75,0,100,32.30769231,*,*,-,-,-,SIN,-,EXP,f26,EXP,f21,f8,f20,SIN,f48,EXP,TAN,EXP,f8,f8,SIN,f20,f15,f18,f49,f4,f31,COS,f48,f17,f22,,,,,,,,,,,,,,,,,,,,,,,,,,
3.94E+48,5.25E+75,0,100,32.30769231,*,-,COS,EXP,-,EXP,TAN,f52,+,-,EXP,TAN,f42,f42,/,f31,f42,EXP,EXP,+,f31,f2,f8,f42,-,TAN,f42,f26,f31,EXP,EXP,f26,EXP,f15,f31,f4,f41,f21,f42,f53,f42,,,,,,,,,,,,,,,,
3.55E+47,4.50E+75,100,0,67.69230769,EXP,EXP,f50,+,f1,EXP,*,f55,COS,f50,f24,f23,f16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
