Start Fitness,End Fitness,Class 0 Accuracy (%),Class 1 Accuracy (%),Overall Accuracy (%)
698.6954038,3.44E+19,0,100,13.61867704
885.2003366,1.75E+19,29.27927928,97.14285714,38.52140078
2592.63285,4.40E+23,27.92792793,94.28571429,36.96498054
1367.166431,6.27E+36,0,100,13.61867704
288.7076818,8.28E+30,38.73873874,94.28571429,46.30350195
697.3935831,2.32E+27,34.23423423,94.28571429,42.41245136
460.0365729,1.52E+23,4.954954955,97.14285714,17.50972763
62.40107973,9.25E+22,0,100,13.61867704
1033.224581,4.41E+27,0,100,13.61867704
119.3611358,3.79E+26,19.36936937,100,30.35019455
378.0955273,1.39E+21,0,100,13.61867704
1129.516104,2.30E+29,3.603603604,100,16.73151751
62.58823713,9.98E+32,36.03603604,94.28571429,43.9688716
83.26976874,1.76E+16,0,100,13.61867704
151.5600603,8.80E+15,25.67567568,94.28571429,35.01945525
305.8250476,4.95E+24,0,100,13.61867704
551.3093311,2.95E+32,0,100,13.61867704
698.0523796,2.83E+29,36.03603604,94.28571429,43.9688716
823.8144831,4.44E+28,16.21621622,100,27.62645914
379.3843434,2.11E+26,36.03603604,94.28571429,43.9688716
697.8732072,9.85E+30,31.98198198,100,41.24513619
698.1368614,1.51E+13,36.48648649,94.28571429,44.35797665
698.1304418,7.10E+27,39.63963964,97.14285714,47.47081712
1184.733302,2.28E+21,34.23423423,97.14285714,42.80155642
698.2784682,2.84E+26,31.98198198,100,41.24513619
529.744736,5.41E+25,0,100,13.61867704
996.1240909,1.05E+28,0,100,13.61867704
378.4211866,5.12E+20,36.03603604,97.14285714,44.35797665
532.5265184,9.00E+23,18.46846847,97.14285714,29.18287938
698.1387138,6.87E+15,14.41441441,100,26.07003891
581.6583567,1.08E+28,35.58558559,100,44.35797665
698.2463804,3.14E+32,0,100,13.61867704
287.2927567,9.89E+32,38.73873874,94.28571429,46.30350195
697.9218383,3.17E+22,34.23423423,100,43.19066148
70.49502554,1.49E+27,18.46846847,94.28571429,28.79377432
210.589262,1.09E+29,33.33333333,94.28571429,41.63424125
2247.457824,6.17E+27,33.33333333,100,42.41245136
126.1702416,1.76E+22,34.23423423,94.28571429,42.41245136
881.7360158,3.47E+22,31.08108108,94.28571429,39.68871595
698.380289,5.29E+23,34.23423423,94.28571429,42.41245136
11358.56333,2.41E+31,0,100,13.61867704
1766.640229,8.61E+24,0,100,13.61867704
44.06922118,7.81E+31,0,100,13.61867704
8172.013153,2.37E+22,36.03603604,94.28571429,43.9688716
358.6746076,1.63E+35,36.03603604,94.28571429,43.9688716
355.1834755,3.38E+30,33.78378378,100,42.80155642
526.1607373,5.20E+18,0,100,13.61867704
1766.753122,4.02E+26,10.36036036,85.71428571,20.62256809
1376.624763,1.18E+23,36.03603604,94.28571429,43.9688716
699.0477622,2.37E+28,90.09009009,2.857142857,78.21011673
831.666814,3.15E+24,34.23423423,94.28571429,42.41245136
1781.468565,8.21E+31,33.78378378,97.14285714,42.41245136
230.5473237,9.44E+37,35.58558559,100,44.35797665
8206.80669,1.04E+33,28.37837838,97.14285714,37.74319066
1099.442049,7.46E+18,2.702702703,100,15.95330739
840.6300449,8.82E+27,26.57657658,100,36.57587549
697.7007085,6.45E+27,0,100,13.61867704
100.4098354,8.71E+39,31.98198198,100,41.24513619
1105.757979,2.51E+32,36.03603604,94.28571429,43.9688716
972.3041497,1.59E+24,0,100,13.61867704
863.8628373,3.14E+28,0,100,13.61867704
698.1579128,3.54E+40,36.03603604,94.28571429,43.9688716
1385.582597,1.02E+30,16.66666667,100,28.0155642
1043.548888,5.09E+26,15.76576577,91.42857143,26.07003891
3410.374639,5.89E+28,18.01801802,97.14285714,28.79377432
1477.567878,6.31E+20,0,100,13.61867704
698.1398952,1.84E+33,34.23423423,94.28571429,42.41245136
2285.543887,5.96E+34,38.73873874,94.28571429,46.30350195
698.380289,1.76E+25,5.855855856,100,18.6770428
697.9373693,4.32E+26,36.03603604,94.28571429,43.9688716
1477.380328,1.98E+27,36.48648649,94.28571429,44.35797665
263961.9255,6.50E+29,35.58558559,100,44.35797665
357.8284598,2.35E+19,27.02702703,94.28571429,36.18677043
475.4000125,3.87E+29,38.73873874,94.28571429,46.30350195
870.3837814,5.27E+39,39.63963964,97.14285714,47.47081712
370.0494754,9.54E+36,0,100,13.61867704
7141.185562,1.00E+28,34.68468468,100,43.57976654
864.0143768,1.58E+24,36.03603604,94.28571429,43.9688716
4042.702603,4.31E+26,32.43243243,100,41.63424125
590.4157569,1.24E+29,0,100,13.61867704
276.8192671,8.00E+29,38.73873874,94.28571429,46.30350195
698.6318165,6.43E+31,36.03603604,94.28571429,43.9688716
698.1436003,5.38E+33,36.93693694,94.28571429,44.74708171
1385.583234,4.34E+32,36.03603604,94.28571429,43.9688716
569.5183151,2.68E+30,36.48648649,97.14285714,44.74708171
986.5867527,5.76E+32,36.03603604,94.28571429,43.9688716
1868.495542,1.50E+31,0,100,13.61867704
281.9381565,7.31E+22,0,100,13.61867704
740.5696407,5.61E+29,0,100,13.61867704
459.6674046,5.12E+13,20.27027027,94.28571429,30.35019455
